"管理番号","機器名称","開始日","状況","現所在地ＣＤ","現所在地","型式","製造ＣＤ","管理部署","分類ＣＤ","分類","メーカーＣＤ","メーカー","配備部署","ME.No","カタログ名称","SystemID","資産番号","資産区分","納入年月日","廃棄フラグ","廃棄年月日","廃棄予定日","廃棄担当者","代表機種","年間保守契約","年間保守費用","常設機器","統計対象外","運転実時間","耐用年数","可用年数","所属コード","購入価格"
"14-0161","セントラルモニタ","2024/03/06 10:03:11","","108","新　ＭＥ室","MU-960R","2323","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　ＭＥ室","予備機","セントラルモニタ","","","固定資産","2014/12/26 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"14-0035","セントラルモニタ","2024/09/06 17:16:26","保守開始","109200","日本光電工業","PU-621R","2037","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　東3階","","セントラルモニタ","","","固定資産","2015/03/27 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"15-0015","セントラルモニタ","2024/01/24 10:08:58","貸出中","118","新　SCU","PU-611R","00195","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　SCU","SCU","セントラルモニタ","","00001714-00","固定資産","2016/03/09 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"18-0005","セントラルモニタ","2024/01/30 10:11:12","貸出中","111","新　西6階","PU-621R","4022","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　西6階","","セントラルモニタ","","","固定資産","2019/01/30 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"19-0100","セントラルモニタ","2024/02/08 10:13:24","貸出中","114","新　ICU","PU-621R","4455","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　ICU","","セントラルモニタ","","","固定資産","2019/06/01 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"19-0011","セントラルモニタ","2024/01/29 10:22:29","貸出中","117","新　CCU","PU-621R","4512","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　CCU","CCU","セントラルモニタ","","","固定資産","2019/12/09 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"20-1021","セントラルモニタ","2024/01/27 13:59:45","貸出中","113","新　手術室","PU-621R","5173","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　手術室","麻酔科用","セントラルモニタ","","00002031-00","固定資産","2021/03/18 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"20-1028","セントラルモニタ","2024/02/20 14:16:26","貸出中","126","新　救急外来","PU-621R","5166","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　救急外来","","セントラルモニタ","","00002037-00","固定資産","2021/03/25 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"25-0001","セントラルモニタ","2025/04/28 10:42:00","貸出中","100","HCU","CNS-2101","2176","新　臨床工学室","0221400","セントラルモニタ","109200","日本光電工業","HCU","HCU","セントラルモニタ","","","固定資産","2025/03/27 0:00:00","False","","","","False","False","0","False","False","","0","0","","0"
"10-1079","ディスプレイ","2022/11/17 9:33:00","","108","新　ＭＥ室","VL-974P","00763","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　ＭＥ室","予備機","CNSディスプレイ","","00001590-00","固定資産","2010/03/31 0:00:00","False","","","","False","False","","False","False","","6","","","0"
"13-0042","ディスプレイ","2024/01/31 11:08:02","貸出中","111","新　西6階","VL-611R","1580","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　西6階","","液晶ディスプレイユニット","","","固定資産","2014/01/31 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"14-0184","ディスプレイ","2022/11/16 10:13:00","","108","新　ＭＥ室","VL-974P","2341","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　ＭＥ室","予備","CNSディスプレイ","","","固定資産","2015/01/06 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"14-0036","ディスプレイ","2024/02/07 13:22:12","貸出中","101","新　東3階","VL-611R","2891","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　東3階","","液晶ディスプレイユニット","","","固定資産","2015/03/23 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"14-0037","ディスプレイ","2024/02/07 13:19:26","貸出中","101","新　東3階","VL-611R","2892","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　東3階","","液晶ディスプレイユニット","","","固定資産","2015/03/23 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"15-0016","ディスプレイ","2024/01/24 10:12:21","貸出中","118","新　SCU","VL-612P","00193","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　SCU","","液晶ディスプレイユニット","","","固定資産","2016/02/24 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"18-0006","ディスプレイ","2024/01/30 10:12:35","貸出中","111","新　西6階","VL-611R","5562","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　西6階","","液晶ディスプレイユニット","","","固定資産","2019/01/30 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"18-0007","ディスプレイ","2024/02/01 9:53:44","","111","新　西6階","VL-611R","5563","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　西6階","","液晶ディスプレイユニット","","","固定資産","2019/01/30 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"19-0102","ディスプレイ","2024/02/08 10:14:57","貸出中","114","新　ICU","VL-611R","6369","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　ICU","","液晶ディスプレイユニット","","","固定資産","2019/06/01 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"19-0103","ディスプレイ","2024/02/08 10:16:45","貸出中","114","新　ICU","VL-611R","6370","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　ICU","","液晶ディスプレイユニット","","","固定資産","2019/06/01 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"19-0012","ディスプレイ","2024/01/29 10:24:12","貸出中","117","新　CCU","VL-611R","6478","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　西7階","","液晶ディスプレイユニット","","","固定資産","2019/12/09 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"20-1022","ディスプレイ","2024/01/27 14:01:16","","89","麻酔科","VL-611R","7493","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","麻酔科","","液晶ディスプレイユニット","","","固定資産","2021/03/18 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"20-1029","ディスプレイ","2024/02/20 14:18:11","貸出中","126","新　救急外来","VL-611R","7473","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　救急外来","","液晶ディスプレイユニット","","","固定資産","2021/03/24 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"21-0010","ベッドサイトモニタ","2024/05/30 15:13:00","貸出中","66","DMAT","BSM-3562","5237","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","DMAT","","ベッドサイトモニタ","","","固定資産","2021/06/30 16:45:00","False","","","","False","False","0","False","False","","6","0","","0"
"00-2846","ベッドサイドモニタ","2024/06/27 11:21:00","貸出中","101","新　東3階(救急)","BSM-6501","00111","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　東3階","302","ベッドサイドモニタ","","00001590-00","固定資産","2009/03/31 0:00:00","False","","","","False","False","","False","False","","6","","","0"
"10-2113","ベッドサイドモニタ","2024/02/06 9:43:45","貸出中","101","新　東3階","BSM-6301","00179","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　東3階","305","ベッドサイドモニタ","","00001590-00","固定資産","2010/02/26 0:00:00","False","","","","False","False","","False","False","","6","","","0"
"10-2115","ベッドサイドモニタ","2024/02/06 9:40:40","貸出中","101","新　東3階","BSM-6301","00178","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　東3階","304","ベッドサイドモニタ","","00001590-00","固定資産","2010/02/26 0:00:00","False","","","","False","False","","False","False","","6","","","0"
"10-1064","ベッドサイドモニタ","2024/01/24 10:33:36","貸出中","117","新　CCU","BSM-6501","00302","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　ＭＥ室","CCU-1","ベッドサイドモニタ","","00001600-00","固定資産","2010/02/26 0:00:00","False","","","","False","False","","False","False","","6","","","0"
"10-1065","ベッドサイドモニタ","2024/01/24 10:43:56","貸出中","117","新　CCU","BSM-6501","00166","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　CCU","CCU-2","ベッドサイドモニタ","","00001600-00","固定資産","2010/02/26 0:00:00","False","","","","False","False","","False","False","","6","","","0"
"10-1066","ベッドサイドモニタ","2024/01/25 10:52:35","貸出中","117","新　CCU","BSM-6501","00301","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　CCU","CCU-4","ベッドサイドモニタ","","00001600-00","固定資産","2010/02/26 0:00:00","False","","","","False","False","","False","False","","6","","","0"
"10-2112","ベッドサイドモニタ","2024/01/18 10:47:50","貸出中","117","新　CCU","BSM-6501","00092","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　CCU","CCU-3","ベッドサイドモニタ","","00001600-00","固定資産","2010/02/26 0:00:00","False","","","","False","True","","False","False","","6","","","0"
"10-1013","ベッドサイドモニタ","2023/12/26 10:29:24","","108","新　ＭＥ室","BSM-6701","00733","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　手術室","OR-1","ベッドサイドモニタ","","00001610-00","固定資産","2010/08/24 0:00:00","False","","","","False","False","","False","False","","6","","","0"
"10-1015","ベッドサイドモニタ","2024/05/30 16:45:00","貸出中","114","新　ICU","BSM-6701","00499","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　ICU","ICU3","ベッドサイドモニタ","","00001610-00","固定資産","2010/03/31 0:00:00","False","","","","False","False","","False","False","","6","","","0"
"10-1043","ベッドサイドモニタ","2024/02/20 10:29:44","貸出中","114","新　ICU","BSM-6701","00740","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　ICU","ICU-2","ベッドサイドモニタ","","00001570-00","固定資産","2010/08/24 0:00:00","False","","","","False","False","","False","False","","6","","","0"
"11-0001","ベッドサイドモニタ","2024/01/25 10:44:16","貸出中","118","新　SCU","BSM-6501","00787","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　SCU","SCU-1","ベッドサイドモニタ","","00001423-00","固定資産","2011/05/31 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"11-0002","ベッドサイドモニタ","2024/01/25 10:48:24","貸出中","118","新　SCU","BSM-6501","00788","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　SCU","SCU-2","ベッドサイドモニタ","","00001423-00","固定資産","2011/05/31 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"11-0003","ベッドサイドモニタ","2024/01/24 10:58:47","貸出中","117","新　CCU","BSM-6501","00789","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　CCU","CCU-5","ベッドサイドモニタ","","00001423-00","固定資産","2011/05/31 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"11-0004","ベッドサイドモニタ","2024/01/24 11:03:00","貸出中","117","新　CCU","BSM-6501","00790","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　CCU","CCU-6","ベッドサイドモニタ","","00001423-00","固定資産","2011/05/31 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"11-0211","ベッドサイドモニタ","2024/02/06 10:25:52","貸出中","114","新　ICU","BSM-6701","01201","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　ICU","ICU-1","ベッドサイドモニタ","","","固定資産","2015/03/27 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"11-0212","ベッドサイドモニタ","2024/02/07 10:37:40","貸出中","114","新　ICU","BSM-6701","01202","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　ICU","ICU-4","ベッドサイドモニタ","","","固定資産","2011/08/11 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"11-0213","ベッドサイドモニタ","2024/03/05 10:32:44","貸出中","114","新　ICU","BSM-6701","01203","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　ICU","ICU-3","ベッドサイドモニタ","","","固定資産","2011/08/01 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"11-0214","ベッドサイドモニタ","2025/01/14 16:24:01","保守開始","108","新　臨床工学室","BSM-6701","01204","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　ICU","ICU-7","ベッドサイドモニタ","","","固定資産","2011/08/19 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"11-0215","ベッドサイドモニタ","2024/04/25 9:43:06","貸出中","114","新　ICU","BSM-6701","01198","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　ICU","ICU-6","ベッドサイドモニタ","","","固定資産","2011/08/11 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"11-0216","ベッドサイドモニタ","2024/02/22 11:01:36","貸出中","114","新　ICU","BSM-6701","01199","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　ICU","ICU-10","ベッドサイドモニタ","","","固定資産","2011/08/11 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"11-0206","ベッドサイドモニタ","2023/12/26 10:35:04","","108","新　ＭＥ室","BSM-6701","01194","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　手術室","OR-2","ベッドサイドモニタ","","","固定資産","2011/08/11 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"11-0207","ベッドサイドモニタ","2025/01/14 16:29:00","貸出中","114","新　ICU","BSM-6701","01195","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　ICU","ICU-7","ベッドサイドモニタ","","","固定資産","2011/08/11 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"11-0208","ベッドサイドモニタ","2023/12/26 10:39:55","","108","新　ＭＥ室","BSM-6701","01196","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　手術室","OR-4","ベッドサイドモニタ","","","固定資産","2011/08/11 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"11-0209","ベッドサイドモニタ","2024/05/30 15:13:00","貸出中","114","新　ICU","BSM-6701","1197","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　ICU","ICU-9","ベッドサイドモニタ","","","固定資産","2011/08/11 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"13-0121","ベッドサイドモニタ","2024/01/23 11:06:35","貸出中","118","新　SCU","BSM-6501","02075","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　SCU","SCU-6","ベッドサイドモニタ","","00001561-00","固定資産","2013/10/29 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"13-0159","ベッドサイドモニタ","2024/03/06 10:54:00","貸出中","114","新　ICU","BSM-6701","03639","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　ICU","ICU-8","ベッドサイドモニタ","","00001588-00","固定資産","2013/12/27 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"13-0160","ベッドサイドモニタ","2024/01/23 10:57:19","貸出中","118","新　SCU","BSM-6501","2177","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　SCU","SCU-3","ベッドサイドモニタ","","00001589-00","固定資産","2013/12/27 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"13-0162","ベッドサイドモニタ","2024/01/25 11:03:06","貸出中","118","新　SCU","BSM-6501","2179","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　SCU","SCU-5","ベッドサイドモニタ","","00001591-00","固定資産","2013/12/27 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"13-0161","ベッドサイドモニタ","2024/01/25 11:00:52","貸出中","118","新　SCU","BSM-6501","2178","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　SCU","SCU-4","ベッドサイドモニタ","","00001592-00","固定資産","2013/12/27 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
