"管理番号","機器名称","開始日","状況","現所在地ＣＤ","現所在地","型式","製造ＣＤ","管理部署","分類ＣＤ","分類","メーカーＣＤ","メーカー","配備部署","ME.No","カタログ名称","SystemID","資産番号","資産区分","納入年月日","廃棄フラグ","廃棄年月日","廃棄予定日","廃棄担当者","代表機種","年間保守契約","年間保守費用","常設機器","統計対象外","運転実時間","耐用年数","可用年数","所属コード","購入価格"
"99-0194","Oxypal mini","","","126","新　救急外来","SAT-2200","1206120194","新　救急外来","0221430","パルスオキシメータ","109200","日本光電工業","新　救急外来","","Oxypal mini","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0193","クローバーシリーズ","","","126","新　救急外来","CV03G","BY02080","新　救急外来","0302000","手術用照明器","156400","山田医療照明","新　救急外来","","クローバーシリーズ","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0192","クローバーシリーズ","","","126","新　救急外来","CV03G","BY02081","新　救急外来","0302000","手術用照明器","156400","山田医療照明","新　救急外来","","クローバーシリーズ","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0191","Polaris700","","","126","新　救急外来","G16920-12","ASAC-0037","新　救急外来","0302000","手術用照明器","098000","ドレーゲル・メディカル ジャパン","新　救急外来","","Polaris700","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0190","Polaris700","","","126","新　救急外来","G16920-12","ASAC-0036","新　救急外来","0302000","手術用照明器","098000","ドレーゲル・メディカル ジャパン","新　救急外来","","Polaris700","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0189","Polaris700","","","126","新　救急外来","G16920-12","ASAC-0035","新　救急外来","0302000","手術用照明器","098000","ドレーゲル・メディカル ジャパン","新　救急外来","","Polaris700","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0188","フィンガーパルスオキシメーター","","","66","DMAT","9570","UL-60601-1","DMAT","0221430","パルスオキシメータ","070800","スター・プロダクト","DMAT","","フィンガーパルスオキシメーター","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0184","ポケットSpO2モニタ","","","88","救急科","Rad-57","708181","救急科","0221430","パルスオキシメータ","142200","マシモジャパン","救急科","YMAT","ポケットSpO2モニタ","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0183","携帯型心電計カーディライト","","","88","救急科","ESP-350 ","50000561","救急科","0221220","その他の心電計","130800","フクダ電子","救急科","Dｒ　Car","携帯型心電計カーディライト","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0181","McGRATH MAC　ビデオ喉頭鏡","","","88","救急科","300-000-000","350827M","救急科","9900000","その他器材","109250","日本コヴィディエン","救急科","Dｒ　Car","McGRATH MAC　ビデオ喉頭鏡","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0174","電動リモートコントロールベッド","","","114","新　ICU","KH-V7510A","3474920","新　ICU","1190000","電動ベッド","125000","パラマウントベッド","新　ICU","","電動リモートコントロールベッド　ヴァーサケア","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","8","","","0"
"99-0173","スカイルックス ノバ スタンド 26S","","","114","新　ICU","26S","K2558 ","新　ICU","0302000","手術用照明器","156400","山田医療照明","新　ICU","","スカイルックス　ノバ","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0172","食道向け超音波診断用プローブ","","","88","救急科","6Tc-RS","98313","救急科","0212020","超音波診断用プローブ","002520","GEヘルスケア・ジャパン","救急科","カンファレンスル","食道向け超音波診断用プローブ","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0171","スカイルックス　ユニバース","","","114","新　ICU","R60SC","K2012 ","新　ICU","0302000","手術用照明器","156400","山田医療照明","新　ICU","","スカイルックス　ユニバース","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0168","電動リモートコントロールベッド","","","101","新　東3階(救急)","KA-94121","1652410","新　東3階(救急)","1190000","電動ベッド","125000","パラマウントベッド","新　東3階(救急)","","電動リモートコントロールベッド","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0167","手持型体外式超音波診断用プローブ","","","126","新　救急外来","C1-6-D","331864YP9","新　救急外来","0212020","超音波診断用プローブ","002520","GEヘルスケア・ジャパン","新　救急外来","","手持型体外式超音波診断用プローブ","","0001915-00","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"99-0166","手持型体外式超音波診断用プローブ","","","126","新　救急外来","11L-D","227315WP9","新　救急外来","0212020","超音波診断用プローブ","002520","GEヘルスケア・ジャパン","新　救急外来","","手持型体外式超音波診断用プローブ","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"99-0164","McGRATH MAC　ビデオ喉頭鏡","","","126","新　救急外来","300-000-000","18069909","新　救急外来","9900000","その他器材","109250","日本コヴィディエン","新　救急外来","初療室","McGRATH MAC　ビデオ喉頭鏡","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0163","輸血・輸液加温システム","","","126","新　救急外来","ﾚﾍﾞﾙ1ｼｽﾃﾑ1000","S10000034","新　救急外来","0356000","血液・医薬品用加温器","071600","スミスメディカル・ジャパン","新　救急外来","初療室","輸血・輸液加温システム","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","","","","0"
"99-0162","Bair Hagger","","","126","新　救急外来","77515","82176","新　救急外来","0612810","加温治療器","071990","３M","新　救急外来","初療室","Bair Hagger","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0159","手持型体外式超音波診断用プローブ","","","126","新　救急外来","3Sc-RS","392571WX6","新　救急外来","0212020","超音波診断用プローブ","002520","GEヘルスケア・ジャパン","新　救急外来","初療室","手持型体外式超音波診断用プローブ","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0157","超音波診断装置用プローブ","","","126","新　救急外来","C6-2","","新　救急外来","0212020","超音波診断用プローブ","129400","フィリップスエレクトロニクスジャパン","新　救急外来","初療室","超音波診断装置用プローブ","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","4","","","0"
"99-0147","低圧持続吸引器","","","126","新　救急外来","メラ サキューム MS-008","119978","新　救急外来","0332020","低圧持続吸引器","074800","泉工医科工業","新　救急外来","初療室","低圧持続吸引器","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","","","","0"
"99-0145","ミリコン　Pro","","","126","新　救急外来","SN-30S","0902128","新　救急外来","0376050","その他のネブライザ","067600","新鋭工業","新　救急外来","","ミリコン　Pro","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0144","ミリコン　Pro","","","126","新　救急外来","SN-30S","1508069","新　救急外来","0376050","その他のネブライザ","067600","新鋭工業","新　救急外来","","ミリコン　Pro","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0130","フィンガーティップパルスオキシメーター","","","126","新　救急外来","MD300C1","182926300294","新　救急外来","0221430","パルスオキシメータ","9999999","不明","新　救急外来","","フィンガーティップパルスオキシメーター","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0129","オキシパルス","","","126","新　救急外来","NEO-100","AB09020038","新　救急外来","0217400","オキシメータ","024000","エア・ウォーター","新　救急外来","","オキシパルス","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","","","","0"
"99-0124","電動リモートコントロールベッド","","","101","新　東3階(救急)","KA-94121","1652410","新　東3階(救急)","1190000","電動ベッド","125000","パラマウントベッド","新　東3階(救急)","","電動リモートコントロールベッド","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0123","電動リモートコントロールベッド","","","101","新　東3階(救急)","KA-94121","1133070","新　東3階(救急)","1190000","電動ベッド","125000","パラマウントベッド","新　東3階(救急)","","電動リモートコントロールベッド","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0122","ネクサスマット","","","101","新　東3階(救急)","CR-601","08054129","新　東3階(救急)","0301060","エアマット","046200","ケープ","新　東3階(救急)","","褥瘡マット","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0121","電動リモートコントロールベッド","","","101","新　東3階(救急)","KA-94121C","1680630","新　東3階(救急)","1190000","電動ベッド","125000","パラマウントベッド","新　東3階(救急)","","電動リモートコントロールベッド","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0120","ネクサスマット","","","101","新　東3階(救急)","CR-601","08041900","新　東3階(救急)","0301060","エアマット","046200","ケープ","新　東3階(救急)","","褥瘡マット","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0119","電動リモートコントロールベッド","","","101","新　東3階(救急)","KA-94121C","1680630","新　東3階(救急)","1190000","電動ベッド","125000","パラマウントベッド","新　東3階(救急)","","電動リモートコントロールベッド","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0118","電動リモートコントロールベッド","","","101","新　東3階(救急)","KA-94121G","1680630","新　東3階(救急)","1190000","電動ベッド","125000","パラマウントベッド","新　東3階(救急)","","電動リモートコントロールベッド","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0117","電動リモートコントロールベッド","","","101","新　東3階(救急)","KA-94121G","1680630","新　東3階(救急)","1190000","電動ベッド","125000","パラマウントベッド","新　東3階(救急)","","電動リモートコントロールベッド","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0116","電動リモートコントロールベッド","","","101","新　東3階(救急)","KA-94121G","1680630","新　東3階(救急)","1190000","電動ベッド","125000","パラマウントベッド","新　東3階(救急)","","電動リモートコントロールベッド","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0115","電動リモートコントロールベッド","","","101","新　東3階(救急)","KA-94121","1133070","新　東3階(救急)","1190000","電動ベッド","125000","パラマウントベッド","新　東3階(救急)","","電動リモートコントロールベッド","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0114","電動リモートコントロールベッド","","","101","新　東3階(救急)","KA-563","0191D","新　東3階(救急)","1190000","電動ベッド","125000","パラマウントベッド","新　東3階(救急)","","電動リモートコントロールベッド","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","","","","0"
"99-0113","電動リモートコントロールベッド","","","101","新　東3階(救急)","KA-94121","1652410","新　東3階(救急)","1190000","電動ベッド","125000","パラマウントベッド","新　東3階(救急)","","電動リモートコントロールベッド","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0112","電動リモートコントロールベッド","","","101","新　東3階(救急)","KA-91121","1133070","新　東3階(救急)","1190000","電動ベッド","125000","パラマウントベッド","新　東3階(救急)","","電動リモートコントロールベッド","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0111","電動リモートコントロールベッド","","","101","新　東3階(救急)","KA-94121G","1680630","新　東3階(救急)","1190000","電動ベッド","125000","パラマウントベッド","新　東3階(救急)","","電動リモートコントロールベッド","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0108","デジタルチェアスケール","","","101","新　東3階(救急)","SECA956","5956006177164","腎臓内科","0324000","身体測定用具","005910","SECA","新　東3階(救急)","","デジタルチェアスケール","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0107","デジタルハンドレールスケール","","","101","新　東3階(救急)","SECA645","不明","新　東3階(救急)","0324000","身体測定用具","005910","SECA","新　東3階(救急)","","デジタルハンドレールスケール","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0106","電動リモートコントロールベッド","","","101","新　東3階(救急)","KA-94121","1133070","新　東3階(救急)","1190000","電動ベッド","125000","パラマウントベッド","新　東3階(救急)","","電動リモートコントロールベッド","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0105","電動リモートコントロールベッド","","","101","新　東3階(救急)","KA-91121","1260290","新　東3階(救急)","1190000","電動ベッド","125000","パラマウントベッド","新　東3階(救急)","","電動リモートコントロールベッド","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0104","電動リモートコントロールベッド　ヴァーサケア","","","101","新　東3階(救急)","KH-V7510A","","新　東3階(救急)","1190000","電動ベッド","125000","パラマウントベッド","新　東3階(救急)","","電動リモートコントロールベッド　ヴァーサケア","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","8","","","0"
"99-0102","低圧持続吸引器","","","101","新　東3階(救急)","メラ サキューム MS-008","143016","新　東3階(救急)","0332020","低圧持続吸引器","074800","泉工医科工業","新　東3階(救急)","","低圧持続吸引器","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","","","","0"
"99-0101","低圧持続吸引器","","","101","新　東3階(救急)","メラ サキューム MS-008","132444","新　東3階(救急)","0332020","低圧持続吸引器","074800","泉工医科工業","新　東3階(救急)","","低圧持続吸引器","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","","","","0"
"99-0100","低圧持続吸引器","","","101","新　東3階(救急)","メラ サキューム MS-008","243664","新　東3階(救急)","0332020","低圧持続吸引器","074800","泉工医科工業","新　東3階(救急)","","低圧持続吸引器","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","","","","0"
"99-0079","テルモパルスオキシメータA","","","101","新　東3階(救急)","ZS-N505","16F00122","新　東3階(救急)","0221430","パルスオキシメータ","090000","テルモ","新　東3階(救急)","","テルモパルスオキシメータA","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0078","テルモパルスオキシメータA","","","101","新　東3階(救急)","ZS-N505","16F00021","新　東3階(救急)","0221430","パルスオキシメータ","090000","テルモ","新　東3階(救急)","","テルモパルスオキシメータA","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0077","Oxypal mini","","","101","新　東3階(救急)","SAT-2200","不明","新　東3階(救急)","0221430","パルスオキシメータ","109200","日本光電工業","新　東3階(救急)","","Oxypal mini","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0076","Oxypal mini","","","101","新　東3階(救急)","SAT-2200","不明","新　東3階(救急)","0221430","パルスオキシメータ","109200","日本光電工業","新　東3階(救急)","","Oxypal mini","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0060","ネクサスマット","","","101","新　東3階(救急)","CR-601","08054124","新　東3階(救急)","0301060","エアマット","046200","ケープ","新　東3階(救急)","","褥瘡マット","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0055","エアウェイスコープ","","","114","新　ICU","AWS-S100","","新　ICU","9900000","その他器材","137800","ペンタックス","新　ICU","","エアウェイスコープ","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0048","電動リモートコントロールベッド　ヴァーサケア","","","114","新　ICU","KH-V7510A","3501420","新　ICU","1190000","電動ベッド","125000","パラマウントベッド","新　ICU","","電動リモートコントロールベッド　ヴァーサケア","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","8","","","0"
"99-0047","手持型体外式超音波診断用プローブ","","","114","新　ICU","11L-D","228203WP6","新　ICU","0212020","超音波診断用プローブ","002520","GEヘルスケア・ジャパン","新　ICU","","手持型体外式超音波診断用プローブ","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"99-0046","手持型体外式超音波診断用プローブ","","","114","新　ICU","C1-6-D","332530YP5","新　ICU","0212020","超音波診断用プローブ","002520","GEヘルスケア・ジャパン","新　ICU","","手持型体外式超音波診断用プローブ","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"99-0042","電子式診断用スパイロメーター","","","114","新　ICU","SP-3700COPD","76111145","新　ICU","0221610","呼吸機能検査装置","130800","フクダ電子","新　ICU","","電子式診断用スパイロメーター","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0036","スマートドップ 45","","","114","新　ICU","スマートドップ 45","10090022","新　ICU","0221140","血流計","-1","Ｈａｄｅｃｏ","新　ICU","","スマートドップ 45","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0035","加熱式ネブライザー","","","114","新　ICU","EZHE01","14100309","新　ICU","0376050","その他のネブライザ","113550","日本メディカルネクスト","新　ICU","","加熱式ネブライザー","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0034","加熱式ネブライザー","","","114","新　ICU","EZHE01","14091102","新　ICU","0376050","その他のネブライザ","113550","日本メディカルネクスト","新　ICU","","加熱式ネブライザー","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0033","低圧持続吸引器","","","114","新　ICU","メラ サキューム MS-009","B190671","新　ICU","0332020","低圧持続吸引器","074800","泉工医科工業","新　ICU","","低圧持続吸引器","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0032","低圧持続吸引器","","","114","新　ICU","メラ サキューム MS-009","B190663","新　ICU","0332020","低圧持続吸引器","074800","泉工医科工業","新　ICU","","低圧持続吸引器","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0031","低圧持続吸引器","","","114","新　ICU","メラ サキューム MS-008","276746","新　ICU","0332020","低圧持続吸引器","074800","泉工医科工業","新　ICU","","低圧持続吸引器","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","","","","0"
"99-0030","低圧持続吸引器","","","114","新　ICU","メラ サキューム MS-008","153540","新　ICU","0332020","低圧持続吸引器","074800","泉工医科工業","新　ICU","","低圧持続吸引器","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","","","","0"
"99-0029","Bair Hagger","2022/04/16 8:28:00","","114","新　ICU","77515","129894","新　ICU","0612810","加温治療器","071990","３M","新　ICU","","Bair Hagger","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0028","Bair Hagger","","","114","新　ICU","77515","129886","新　ICU","0612810","加温治療器","071990","３M","新　ICU","","Bair Hagger","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0021","内視鏡用プリンター","","","114","新　ICU","YP25MD","301445","新　ICU","0525500","内視鏡周辺装置","076800","ソニー","新　ICU","","内視鏡用プリンター","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0016","カフアシストⅡ","","","114","新　ICU","CC20","2001A8060","新　ICU","9900000","その他器材","9999999","不明","新　ICU","","カフアシストⅡ","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0011","電動リモートコントロールベッド　ヴァーサケア","","","114","新　ICU","KH-V7510A","3501420","新　ICU","1190000","電動ベッド","125000","パラマウントベッド","新　ICU","","電動リモートコントロールベッド　ヴァーサケア","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","8","","","0"
"99-0007","電動リモートコントロールベッド　ヴァーサケア","","","114","新　ICU","KH-V7510A","3474950","新　ICU","1190000","電動ベッド","125000","パラマウントベッド","新　ICU","","電動リモートコントロールベッド　ヴァーサケア","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","8","","","0"
"99-0005","電動リモートコントロールベッド　ヴァーサケア","","","114","新　ICU","KH-V7510A","344645","新　ICU","1190000","電動ベッド","125000","パラマウントベッド","新　ICU","","電動リモートコントロールベッド　ヴァーサケア","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","8","","","0"
"99-0004","電動リモートコントロールベッド　ヴァーサケア","","","114","新　ICU","KH-V7510A","3474110","新　ICU","1190000","電動ベッド","125000","パラマウントベッド","新　ICU","","電動リモートコントロールベッド　ヴァーサケア","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","8","","","0"
"99-0000","テスト用機器","2016/11/28 11:07:00","","","","test","test","新　ＭＥ室","0109000","一般撮影装置","005408","Nonin Medical","新　ＭＥ室","test","テスト用機器","","","固定資産","2017/06/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"34-3007","ニプロCEサーモ","","","108","新　ＭＥ室","CET-101","","新　ＭＥ室","0216000","体温計","106400","ニプロ","","","ニプロCEサーモ2","","","固定資産","2024/05/15 0:00:00","False","","","","False","False","0","False","False","","0","0","","0"
"25-3028","酸素ブレンダ","2025/05/17 19:37:00","貸出中","102","新　東4階(小児科)","OA2060","","新　臨床工学室","0306220","酸素供給装置","059300","サンユーテクノロジー","新　臨床工学室","CE中央管理NHF","酸素ブレンダー","","","固定資産","2025/05/12 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"25-3027","iPAD Air","2025/04/30 10:10:00","貸出中","111","新　西6階","MD789J/A","","新　臨床工学室","9900000","その他器材","000480","Apple","","No,37","iPAD Air","","","固定資産","2025/04/24 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"25-3026","iPAD Air","2025/04/30 10:10:00","貸出中","111","新　西6階","MD789J/A","","新　臨床工学室","9900000","その他器材","000480","Apple","","No,36","iPAD Air","","","固定資産","2025/04/24 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"25-3025","iPAD Air","2025/04/30 10:10:00","貸出中","111","新　西6階","MD789J/A","","新　臨床工学室","9900000","その他器材","000480","Apple","","No,35","iPAD Air","","","固定資産","2025/04/24 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"25-3024","iPAD Air","2025/04/30 10:10:00","貸出中","102","新　東4階(小児科)","MD789J/A","","新　臨床工学室","9900000","その他器材","000480","Apple","","No,34","iPAD Air","","","固定資産","2025/04/24 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"25-3023","iPAD Air","2025/04/30 10:10:00","貸出中","102","新　東4階(小児科)","MD789J/A","","新　臨床工学室","9900000","その他器材","000480","Apple","","No,33","iPAD Air","","","固定資産","2025/04/24 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"25-3022","iPAD Air","2025/04/30 10:10:00","貸出中","102","新　東4階(小児科)","MD789J/A","","新　臨床工学室","9900000","その他器材","000480","Apple","","No,32","iPAD Air","","","固定資産","2025/04/24 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"25-3021","iPAD Air","2025/04/30 10:10:00","貸出中","100","HCU","MD789J/A","","新　臨床工学室","9900000","その他器材","000480","Apple","","No,31","iPAD Air","","","固定資産","2025/04/24 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
